Episode number, Episode reward
921,-1249.5004420554878
922,-1366.333786134896
923,-1157.5689180821246
924,-2013.5548737416584
925,-1066.529230364543
926,-1362.1718063200685
927,-2083.6012679056234
928,-1251.7615660821773
929,-1141.7401583238359
930,-1389.645277901988
931,-1212.8627642622737
932,-1368.0763247015227
933,-1069.7172144377842
934,-1210.0005140494686
935,-1188.4823467508097
936,-1294.4071886370389
937,-1211.4512114881147
938,-1073.0376760958698
939,-1478.6137272340925
940,-1410.2050080643787
941,-1404.4332902927404
942,-1986.35847509187
943,-1173.1218043833976
944,-860.6753882172742
945,-2126.241360734595
946,-1384.009668228986
947,-1598.9647440368983
948,-1103.3197481107793
949,-1176.845182110105
950,-1427.9600412113753
951,-1050.701885956929
952,-1349.8828785492274
953,-1377.817256148834
954,-1020.509672435699
955,-1176.3790792354248
956,-1451.684285175918
957,-1362.3666810218083
958,-1144.113802262512
959,-1892.9546969761748
960,-1186.617767987163
961,-1323.2327374801177
962,-1451.701709456436
963,-1209.5716641189608
964,-2127.341929224506
965,-1237.483690461931
966,-1149.5917175059526
967,-1338.825923627683
968,-1571.9681807378577
969,-2128.4292629897277
970,-1121.4507680209738
971,-1486.2751588719611
972,-1271.2356936408253
973,-1434.5477569191253
974,-2183.524642489402
975,-1991.602677812959
976,-1239.884960789411
977,-1280.5377855720794
978,-1095.0071394766192
979,-1033.7290139360384
980,-1231.3810010786262
981,-1101.9830168812848
982,-1145.7486528277277
983,-2106.5499786967675
984,-1436.6545071499163
985,-1261.9132052011246
986,-1375.1119468938941
987,-1221.7093340753243
988,-853.6499078601042
989,-1151.1361581277765
990,-1035.182215412818
991,-1221.0574221244576
992,-1354.3952887018013
993,-1332.3154554825217
994,-2229.1812852902844
995,-1203.3070697570984
996,-1272.7856742884208
997,-1918.7094528297062
998,-1473.5228726686837
999,-1217.8778157882916
1000,-1598.576801189942
1001,-1103.33334516214
1002,-1982.9580638883986
1003,-987.6975494144431
1004,-984.5292544793316
1005,-2056.720124586031
1006,-1435.2690628266228
1007,-1250.834501174355
1008,-1151.40028699498
1009,-1504.1335190603131
1010,-1415.3456089466124
1011,-1173.527945749313
1012,-1268.3106238151965
1013,-1567.6570388530836
1014,-1492.4243873342248
1015,-969.834984820507
1016,-1127.6119877384401
1017,-1067.1099002562273
1018,-1290.7934085459485
1019,-1079.5778779206498
1020,-1178.1894593224497
1021,-1047.9947002411864
1022,-1192.3281850790233
1023,-1214.5230653725737
1024,-1929.2472345358572
